=== Secure OSPF Router Security Log ===
Time,Event,Protocol,Details
1.00104096,FORWARDED,DHCP,Gate 0 -> 2
1.00308192,FORWARDED,DHCP,Gate 2 -> 0
2.00102048,FORWARDED,DNS,Gate 0 -> 3
2.00304096,FORWARDED,DNS,Gate 3 -> 0
3.00104096,TTL_EXPIRED,LOOP,Packet dropped
3.00108192,FORWARDED,HTTPS,Gate 0 -> 4
3.00316384,FORWARDED,HTTPS,Gate 4 -> 0
6.00116384,SUSPICIOUS,MALICIOUS,Unknown protocol detected
6.00116384,FORWARDED,MALICIOUS,Gate 1 -> 0
7.146650014915,FORWARDED,HTTPS,Gate 0 -> 4
7.148731934915,FORWARDED,HTTPS,Gate 4 -> 0
7.372398945556,FORWARDED,DNS,Gate 0 -> 3
7.374419425556,FORWARDED,DNS,Gate 3 -> 0
9.00104096,BLOCKED,UNENCRYPTED,Packet dropped
11.196294969217,FORWARDED,DHCP,Gate 0 -> 2
11.198335929217,FORWARDED,DHCP,Gate 2 -> 0
11.679447247185,FORWARDED,HTTPS,Gate 0 -> 4
11.681529167185,FORWARDED,HTTPS,Gate 4 -> 0
12.00102048,BLOCKED,UNENCRYPTED,Packet dropped
12.783452427068,FORWARDED,DNS,Gate 0 -> 3
12.785472907068,FORWARDED,DNS,Gate 3 -> 0
15.00108192,BLOCKED,UNENCRYPTED,Packet dropped
15.314096779334,FORWARDED,HTTPS,Gate 0 -> 4
15.316178699334,FORWARDED,HTTPS,Gate 4 -> 0
18.00104096,TTL_EXPIRED,LOOP,Packet dropped
18.585061169699,FORWARDED,HTTPS,Gate 0 -> 4
18.587143089699,FORWARDED,HTTPS,Gate 4 -> 0
19.172459376098,FORWARDED,DNS,Gate 0 -> 3
19.174479856098,FORWARDED,DNS,Gate 3 -> 0
21.00116384,SUSPICIOUS,MALICIOUS,Unknown protocol detected
21.00116384,FORWARDED,MALICIOUS,Gate 1 -> 0
22.455752258891,FORWARDED,HTTPS,Gate 0 -> 4
22.457834178891,FORWARDED,HTTPS,Gate 4 -> 0
22.628077448615,FORWARDED,DHCP,Gate 0 -> 2
22.630118408615,FORWARDED,DHCP,Gate 2 -> 0
24.00104096,BLOCKED,UNENCRYPTED,Packet dropped
24.756035836467,FORWARDED,DNS,Gate 0 -> 3
24.758056316467,FORWARDED,DNS,Gate 3 -> 0
25.608897383561,FORWARDED,HTTPS,Gate 0 -> 4
25.610979303561,FORWARDED,HTTPS,Gate 4 -> 0
27.00102048,BLOCKED,UNENCRYPTED,Packet dropped
28.946174257488,FORWARDED,DNS,Gate 0 -> 3
28.948194737488,FORWARDED,DNS,Gate 3 -> 0
30.00108192,BLOCKED,UNENCRYPTED,Packet dropped
30.284216388831,FORWARDED,HTTPS,Gate 0 -> 4
30.286298308831,FORWARDED,HTTPS,Gate 4 -> 0
32.17302616039,FORWARDED,DNS,Gate 0 -> 3
32.17504664039,FORWARDED,DNS,Gate 3 -> 0
32.378426288524,FORWARDED,DHCP,Gate 0 -> 2
32.380467248524,FORWARDED,DHCP,Gate 2 -> 0
33.00104096,TTL_EXPIRED,LOOP,Packet dropped
35.175204681004,FORWARDED,HTTPS,Gate 0 -> 4
35.177286601004,FORWARDED,HTTPS,Gate 4 -> 0

=== Final Statistics ===
Forwarded: 42
Dropped: 9
Unencrypted blocked: 6
TTL expired: 3
